run,path,tileSize,resolution,width,height,frames,warmup,threadsPerThreadgroup,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,occupancyRatioThreadsOverMax,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,cpuEncodeMsAvg,stepsAvg,note,log
1,compute,16,1440p,2560,1440,180,120,256,NA,NA,NA,,42.850,44.050,45.300,23.337,22.075,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1440p_run1.log
2,compute,16,1440p,2560,1440,180,120,256,NA,NA,NA,,42.550,43.710,44.450,23.502,22.497,0.290,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1440p_run2.log
3,compute,16,1440p,2560,1440,180,120,256,NA,NA,NA,,42.340,43.780,44.650,23.618,22.396,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1440p_run3.log
1,compute,16,1620p,2880,1620,180,120,256,NA,NA,NA,,64.940,82.010,88.130,15.399,11.347,0.180,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1620p_run1.log
2,compute,16,1620p,2880,1620,180,120,256,NA,NA,NA,,52.240,53.980,56.320,19.142,17.756,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1620p_run2.log
3,compute,16,1620p,2880,1620,180,120,256,NA,NA,NA,,75.520,77.790,79.280,13.242,12.614,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1620p_run3.log
1,compute,16,1800p,3200,1800,180,120,256,NA,NA,NA,,69.520,70.530,71.260,14.384,14.033,0.120,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1800p_run1.log
2,compute,16,1800p,3200,1800,180,120,256,NA,NA,NA,,63.030,65.670,68.130,15.865,14.678,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1800p_run2.log
3,compute,16,1800p,3200,1800,180,120,256,NA,NA,NA,,91.680,95.310,96.750,10.908,10.336,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_1800p_run3.log
1,compute,16,2160p,3840,2160,180,120,256,NA,NA,NA,,94.380,96.380,99.090,10.595,10.092,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_2160p_run1.log
2,compute,16,2160p,3840,2160,180,120,256,NA,NA,NA,,128.580,131.200,142.080,7.777,7.038,0.240,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_2160p_run2.log
3,compute,16,2160p,3840,2160,180,120,256,NA,NA,NA,,130.550,135.400,145.270,7.660,6.884,0.110,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_2160p_run3.log
1,compute,16,2880p,5120,2880,180,120,256,NA,NA,NA,,178.170,233.820,243.540,5.613,4.106,0.150,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_2880p_run1.log
2,compute,16,2880p,5120,2880,180,120,256,NA,NA,NA,,153.880,161.690,196.110,6.499,5.099,0.270,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_2880p_run2.log
3,compute,16,2880p,5120,2880,180,120,256,NA,NA,NA,,222.350,224.210,224.610,4.497,4.452,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute16_2880p_run3.log
1,compute,4,1440p,2560,1440,180,120,16,NA,NA,NA,,93.590,96.040,98.470,10.685,10.155,0.300,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1440p_run1.log
2,compute,4,1440p,2560,1440,180,120,16,NA,NA,NA,,86.510,91.420,109.610,11.559,9.123,0.080,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1440p_run2.log
3,compute,4,1440p,2560,1440,180,120,16,NA,NA,NA,,89.410,91.670,93.970,11.184,10.642,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1440p_run3.log
1,compute,4,1620p,2880,1620,180,120,16,NA,NA,NA,,112.260,113.890,117.270,8.908,8.527,0.100,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1620p_run1.log
2,compute,4,1620p,2880,1620,180,120,16,NA,NA,NA,,116.270,127.890,145.010,8.601,6.896,0.200,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1620p_run2.log
3,compute,4,1620p,2880,1620,180,120,16,NA,NA,NA,,154.030,160.170,163.300,6.492,6.124,0.270,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1620p_run3.log
1,compute,4,1800p,3200,1800,180,120,16,NA,NA,NA,,191.170,198.800,199.650,5.231,5.009,0.230,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1800p_run1.log
2,compute,4,1800p,3200,1800,180,120,16,NA,NA,NA,,134.550,139.480,142.100,7.432,7.037,0.090,0.000,compute step counter unavailable in this harness,/Users/halopend/Threshold/MetalRaymarch-main/BenchmarkResults/desktop-threadgroup-highres-2026-07-09/logs/compute4_1800p_run2.log
