run,path,tileSize,resolution,width,height,frames,warmup,threadsPerThreadgroup,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,occupancyRatioThreadsOverMax,gpuMsAvg,gpuMsP95,gpuMsMax,fpsAvg,fpsMin,cpuEncodeMsAvg,stepsAvg,note,log
1,compute,16,1080p,1920,1080,90,20,256,NA,NA,NA,,27.140,29.000,30.320,36.846,32.982,0.280,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_1080p_run1.log
2,compute,16,1080p,1920,1080,90,20,256,NA,NA,NA,,34.180,37.930,38.550,29.257,25.940,0.350,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_1080p_run2.log
3,compute,16,1080p,1920,1080,90,20,256,NA,NA,NA,,25.740,27.050,27.530,38.850,36.324,0.060,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_1080p_run3.log
1,compute,16,1440p,2560,1440,90,20,256,NA,NA,NA,,46.460,48.120,48.840,21.524,20.475,0.290,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_1440p_run1.log
2,compute,16,1440p,2560,1440,90,20,256,NA,NA,NA,,44.050,45.440,46.800,22.701,21.368,0.080,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_1440p_run2.log
3,compute,16,1440p,2560,1440,90,20,256,NA,NA,NA,,43.570,44.460,59.340,22.952,16.852,0.100,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_1440p_run3.log
1,compute,16,720p,1280,720,90,20,256,NA,NA,NA,,13.170,15.180,16.300,75.930,61.350,0.110,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_720p_run1.log
2,compute,16,720p,1280,720,90,20,256,NA,NA,NA,,12.500,13.930,14.670,80.000,68.166,0.360,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_720p_run2.log
3,compute,16,720p,1280,720,90,20,256,NA,NA,NA,,11.910,13.380,13.600,83.963,73.529,0.040,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute16_720p_run3.log
1,compute,4,1080p,1920,1080,90,20,16,NA,NA,NA,,60.970,62.870,64.120,16.402,15.596,0.120,0.000,compute step counter unavailable in this harness,BenchmarkResults/desktop-threadgroup-size-2026-07-09/logs/compute4_1080p_run1.log
