path,tileSize,resolution,width,height,runs,threadsPerThreadgroup,maxThreadsPerThreadgroup,threadExecutionWidth,threadgroupMemBytes,occupancyRatioThreadsOverMax,fpsMean,fpsStdev,fpsBestRun,fpsWorstRun,gpuMsMean,gpuMsStdev,winnerWithinResolution,note
compute,16,720p,1280,720,3,256,NA,NA,NA,,79.964,4.017,83.963,75.930,12.527,0.630,best_compute_tile,
compute,4,720p,1280,720,3,16,NA,NA,NA,,30.935,12.850,39.386,16.147,38.050,20.693,,
compute,8,720p,1280,720,3,64,NA,NA,NA,,78.607,1.916,79.745,76.394,12.727,0.315,,
fragment,NA,720p,1280,720,3,NA,NA,NA,NA,,67.338,17.059,80.000,47.939,15.620,4.565,,fragment baseline; not a threadgroup-sizing option
compute,16,1080p,1920,1080,3,256,NA,NA,NA,,34.984,5.060,38.850,29.257,29.020,4.523,,
compute,4,1080p,1920,1080,3,16,NA,NA,NA,,17.300,0.841,18.070,16.402,57.897,2.850,,
compute,8,1080p,1920,1080,3,64,NA,NA,NA,,35.762,1.198,37.133,34.916,27.983,0.921,best_compute_tile,
fragment,NA,1080p,1920,1080,3,NA,NA,NA,NA,,36.369,1.653,38.241,35.112,27.533,1.225,,fragment baseline; not a threadgroup-sizing option
compute,16,1440p,2560,1440,3,256,NA,NA,NA,,22.392,0.762,22.952,21.524,44.693,1.549,best_compute_tile,
compute,4,1440p,2560,1440,3,16,NA,NA,NA,,9.636,0.738,10.148,8.790,104.200,8.326,,
compute,8,1440p,2560,1440,3,64,NA,NA,NA,,20.910,0.466,21.441,20.568,47.840,1.055,,
fragment,NA,1440p,2560,1440,3,NA,NA,NA,NA,,21.735,1.638,23.267,20.008,46.187,3.537,,fragment baseline; not a threadgroup-sizing option
